
intro_title, Ik ontwerp en realiseer **digitale platformen**
connectors_title, Koppelen van systemen
plain_html_title, Plain HTML templates
visuals_title, Grafische visuals
cms_title, WordPress & Magento 1/2
customized_title, Maatwerk applicaties
optimisation_title,Laadtijd & rendering optimalisatie 

contact_btn, Stuur een bericht
github_link_title, Mijn github profiel
linkedin_link_title, Mijn linkedIn profiel
go_back, Ga terug

form_name, Naam
form_name_placeholder, Wat is je naam?
form_name_validation, Met wie heb ik het genoegen? te korte naam..
form_contact_placeholder, Email of telefoon nummer
form_contact_validation, Hoe kan ik contact met je opnemen?
form_email, Email
form_email_validation, Dit lijkt me geen correct mail adres..
form_phone, Telefoon
form_phone_validation, Beetje een kort telefoonnummer..
form_description, Omschrijving
form_description_placeholder, Wat zou je willen weten?
form_description_validation, Heb je iets meer informatie?
form_sending, Dankje! Nu bezig met verzenden..
form_send, Verzenden

footer_or, of
footer_contact, stuur een bericht
